Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
Twitter,Record air pollution levels in Shanghai (affects travel),06 December 2013,http://www.reuters.com/article/2013/12/06/us-china-pollution-idUSBRE9B508X20131206?feedType=RSS&feedName=topNews&utm_source=dlvr.it&utm_medium=twitter&dlvrit=992637   http://www.zerohedge.com/news/2013-12-06/peak-smog-shanghai-orders-cars-roads-pollution-literally-charts,not related to climate change,no (not related to climate change),disaster,human-induced hazards  [disaster],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Democrats: Global Warming will force women into prostitution,30 April 2013,http://newsbusters.org/blogs/matt-vespa/2013/04/30/ca-dem-global-warming-will-force-women-prostitution   http://www.huffingtonpost.com/2013/05/01/does-climate-change-drive_n_3194779.html,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Northern Gateway oil pipeline approval,19 December 2013,http://www.huffingtonpost.com/2013/12/19/enbridge-pipeline-recommended-northern-gateway_n_4475984.html   http://gatewaypanel.review-examen.gc.ca/clf-nsi/dcmnt/rcmndtnsrprt/rcmndtnsrprtvlm2chp1-eng.html   http://www.bloomberg.com/news/2013-12-19/enbridge-northern-gateway-pipeline-approved-with-conditions.html,not related to climate change,borderline (weakly related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Ad Campaign for Air King,29 October 2013,https://twitter.com/AKventilation/status/395258968320118784,not related to climate change,borderline (weakly related to climate change),for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Louisiana Flood Protection Authority lawsuit,24 July 2013,http://www.businessweek.com/ap/2013-07-24/la-dot-flood-board-to-sue-oil-companies-over-erosion   http://www.reuters.com/article/2013/07/24/us-usa-gulfofmexico-lawsuit-idUSBRE96N15I20130724,not related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],for-profit (excl. media),legal actions involving for-profit corporations  [for-profit (excl. media)],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Third National Climate Assessment,07 May 2014,https://www.sciencenews.org/blog/science-ticker/federal-report-details-climate-change-us   http://edition.cnn.com/2014/05/06/politics/white-house-climate-energy/index.html   http://www.globalchange.gov/ncadac,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Speedy surgery puts transmitters into Hudson fish,29 May 2014,http://www.680news.com/2014/05/29/sturgeon-surgery-quick-operations-embed-transmitters-in-endangered-fish-in-hudson-river/   http://news.yahoo.com/speedy-surgery-puts-transmitters-hudson-fish-051046327.html,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,2014 Earth Day/Week,22 April 2014,http://www.huffingtonpost.com/rep-jackie-speier/earth-day-treat-climate-c_b_5193754.html?ncid=txtlnkusaolp00000592   http://en.wikipedia.org/wiki/Earth_Day   http://www.csmonitor.com/Commentary/Opinion/2014/0422/Four-reasons-to-be-hopeful-this-Earth-Day/Not-everyone-cares-about-carbon-but-everyone-cares-about-saving-energy,related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Goldman environment prize,28 April 2014,http://news.yahoo.com/peruvian-among-goldman-environment-prize-winners-205830699.html   http://www.goldmanprize.org/home,weakly related to climate change,borderline (weakly related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,President Obama Speech on Climate Change at Georgetown,25-26 June 2013,http://www.whitehouse.gov/the-press-office/2013/06/25/remarks-president-climate-change   http://www.huffingtonpost.com/2013/06/26/obama-climate-change-quotes_n_3499413.html?utm_hp_ref=green   http://news.yahoo.com/obama-opens-2nd-term-drive-against-climate-change-223816865.html,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],this is neither good nor bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,1 of 10 Sumatran rhinos in captivity dies in Ohio,31 March 2014,http://cnsnews.com/news/article/1-10-sumatran-rhinos-captivity-dies-ohio   http://news.yahoo.com/cincinnati-zoos-only-female-sumatran-rhino-dies-173107365.html,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Tropical Storm Fung-wong,20 September 2014,http://www.reuters.com/article/2014/09/20/us-philippines-typhoon-idUSKBN0HF04020140920   http://www.mynextfone.co.uk/world/storm-fungwong-churned-towards-taiwan-on-saturday-after-killing-h33933.html   http://en.wikipedia.org/wiki/Tropical_Storm_Fung-wong_(2014),not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"February 11-17, 2014 North American winter storm",13-18 February 2014,"http://en.wikipedia.org/wiki/February_11%E2%80%9317,_2014_North_American_winter_storm   https://twitter.com/c_the_truth/status/431237600675106816",not related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Climate change expert pleads guilty for fraud,17 December 2013,http://www.nbcnews.com/news/other/climate-change-experts-fraud-was-crime-massive-proportion-say-feds-f2D11751587   http://www.theguardian.com/environment/2013/dec/16/epa-climate-change-expert-cia-fraud,related to climate change,yes (related to climate change),individuals,legal actions involving individuals  [individuals],govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,A joke related to global warming,06 February 2014,https://twitter.com/funny_truth/status/439326519379656704,weakly related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Greenpeace activists detained in Russia,02 October 2013,http://www.bloomberg.com/news/2013-10-02/russia-charges-briton-brazilian-with-piracy-greenpeace-says.html   http://www.greenpeace.org/international/en/news/features/From-peaceful-action-to-dramatic-seizure-a-timeline-of-events-since-the-Arctic-Sunrise-took-action-September-18-CET/   http://www.huffingtonpost.com/2013/10/02/piracy-charges-greenpeace_n_4028485.html,weakly related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Traffic restrictions in Paris,17 March 2014,https://twitter.com/AFP/status/445497307547455488/photo/1   http://inhabitat.com/paris-gets-tough-on-pollution-as-fridays-air-quality-rated-worse-than-beijing/   http://www.bbc.com/news/world-europe-26599010,not related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
